Role,Experience,Languages,Industry,Familiarity,AI Interests,AI Tool Usage,Confidence Level,Motivation,Preferred Format,Important Features,Challenges,Campaign Interest,Advertisement Type,Learning Sources,Post-Course Goals,Expected Content,Additional Comments
Fresh Graduate,3–5 years,Python,Freelancing,Somewhat familiar,Learning state-of-the-art AI techniques,No,Confident,Building innovative projects,Project-based learning,Access to mentors or instructors; Certification; Community/forum for peer discussion; Hands-on projects; Flexibility in schedule,Time constraints,Real-world project portfolio,Short demo/tutorial video of AI tools,"Recommendations from peers; Online course platforms (e.g., Coursera, Udemy); Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,Less than 1 year,Python; C++/C#; Java,Enterprise Software,Familiar but haven’t used them,Automating repetitive development tasks; Code generation and optimization; Creating AI-powered applications; Learning state-of-the-art AI techniques,Yes (please specify),Somewhat confident,Building innovative projects,Self-paced videos,Hands-on projects; Certification; Community/forum for peer discussion; Flexibility in schedule; Access to mentors or instructors,Cost,Endorsements from experts in the field,Comparison of skills before/after the course,Tech Blogs/Newsletters,Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,1–2 years,JavaScript/TypeScript; Python,Enterprise Software,Familiar but haven’t used them,Automating repetitive development tasks; Learning state-of-the-art AI techniques; Other,No,Confident,Building innovative projects,Self-paced videos,Flexibility in schedule; Hands-on projects; Community/forum for peer discussion; Access to mentors or instructors; Certification,Other,Real-world project portfolio,Success stories/testimonials,"Recommendations from peers; Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,1–2 years,Other,Enterprise Software,Somewhat familiar,Automating repetitive development tasks; Code generation and optimization; Creating AI-powered applications,Yes (please specify),Somewhat confident,Career advancement,Project-based learning,Access to mentors or instructors; Community/forum for peer discussion; Hands-on projects; Flexibility in schedule; Certification,Other,Real-world project portfolio,Success stories/testimonials,Google Search/Ads; Recommendations from peers; Other,Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,JavaScript/TypeScript; Python; Other,Freelancing,Not familiar,Learning state-of-the-art AI techniques; Automating repetitive development tasks; Debugging and testing enhancements; Creating AI-powered applications,Yes (please specify),Not confident,Building innovative projects,Live interactive sessions,Community/forum for peer discussion; Hands-on projects; Access to mentors or instructors; Flexibility in schedule; Certification,Time constraints,Real-world project portfolio,Infographic showing key benefits,Tech Blogs/Newsletters; Google Search/Ads,Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,Other; C++/C#,Enterprise Software,Somewhat familiar,Creating AI-powered applications; Other; Automating repetitive development tasks,Yes (please specify),Not confident,Other,Mixed format (self-paced + live),Hands-on projects; Community/forum for peer discussion; Flexibility in schedule; Certification; Access to mentors or instructors,Lack of interactivity,Endorsements from experts in the field,Comparison of skills before/after the course,"Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,Less than 1 year,Other; JavaScript/TypeScript,Tech Startup,Familiar but haven’t used them,Debugging and testing enhancements,No,Not confident,Other,Live interactive sessions,Certification; Access to mentors or instructors; Flexibility in schedule; Community/forum for peer discussion; Hands-on projects,Lack of interactivity,Industry-recognized certification,Short demo/tutorial video of AI tools,"Recommendations from peers; Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,More than 5 years,C++/C#,Enterprise Software,Somewhat familiar,Learning state-of-the-art AI techniques; Code generation and optimization; Automating repetitive development tasks,No,Not confident,Enhancing productivity,Self-paced videos,Certification; Community/forum for peer discussion; Hands-on projects; Access to mentors or instructors; Flexibility in schedule,Lack of interactivity,Competitive pricing,Infographic showing key benefits,Google Search/Ads,Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,1–2 years,Go,Enterprise Software,Somewhat familiar,Code generation and optimization; Debugging and testing enhancements,Yes (please specify),Not confident,Building innovative projects,Live interactive sessions,Hands-on projects; Access to mentors or instructors; Community/forum for peer discussion; Flexibility in schedule; Certification,Time constraints,Competitive pricing,Short demo/tutorial video of AI tools,Tech Blogs/Newsletters,Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,Less than 1 year,C++/C#; Other,Tech Startup,Not familiar,Automating repetitive development tasks; Creating AI-powered applications,No,Somewhat confident,Building innovative projects,Mixed format (self-paced + live),Community/forum for peer discussion; Certification; Access to mentors or instructors; Hands-on projects; Flexibility in schedule,Time constraints,Testimonials from past learners,Infographic showing key benefits,Google Search/Ads,Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
